version,time,explained_variance_score,r2_score,mean_squared_error,mean_absolute_error
33aca24fc8acfb070aad4b1abd0fb590d97c88f1,0.051055,0.501584,0.501579,4.081728,1.563380
0f8b3c2097bab34fdf8dbf1802e9afc902473525,0.021871,0.501584,0.501579,4.081728,1.563380
8226a986fc462a7bb103e573f53bcdc20875250b,0.026218,0.501584,0.501579,4.081728,1.563380
29c092d70682d8099608ac292216112612c56870,0.026097,0.501584,0.501579,4.081728,1.563380
bc18af34bdc80d85854d302c448f52bdeaffcdb0,0.160350,0.501584,0.501579,4.081728,1.563380
9fe13b322f521c518e4dcbf2b156f69ad2a006c4,0.004471,0.501584,0.501579,4.081728,1.563380
68b7ca32cc20926311fd2ed7de9faa936778e299,0.110077,0.501584,0.501579,4.081728,1.563380
826443e90cbb5f0391e784048ca47ddcdd60b664,0.027907,0.501584,0.501579,4.081728,1.563380
8232d49f3d0a654a3ed008ee772532bdac42dd15,0.031860,0.501584,0.501579,4.081728,1.563380
cd277094402f4cfe5feaef7c78a3ad0fbf6d60b7,0.043272,0.501584,0.501579,4.081728,1.563380
708b61a980ad97fe0a69d0ab8a264a57663171f7,0.006247,0.501584,0.501579,4.081728,1.563380
2e0857aeacf86fa4c670d3b3b94e4923f1ecbd7d,0.063794,0.501584,0.501579,4.081728,1.563380
b0f221ac36820a8028520660b2d69c5e3b46ede7,0.004715,0.501584,0.501579,4.081728,1.563380
f85e7be8c5fcec6b5bf394f55f4d688c03d7418b,0.031409,0.501584,0.501579,4.081728,1.563380
0e74917afde75596995cd44b43d78f63ac3d16b5,0.076140,0.501584,0.501579,4.081728,1.563380
f116314f5cf58d1c780be1ee2e6b59779834c269,0.005034,0.501584,0.501579,4.081728,1.563380
617d73191811e8aa9b8fb1c6c3cde13e5e7e66e7,0.054614,0.501584,0.501579,4.081728,1.563380
fc91c53e08fb29683122dceef163509a94c421b8,0.022350,0.501584,0.501579,4.081728,1.563380
872e70d9b715be074aa761cbd9c40e29afd64d4f,0.106545,0.501584,0.501579,4.081728,1.563380
f1f6feeea95bebbedf24f383ba3191fe65b5cace,0.043327,0.501584,0.501579,4.081728,1.563380
74b95bb865dd9b2aa9567cfad13bd379399ce2dc,0.025376,0.501584,0.501579,4.081728,1.563380
1dab0e1ec1929f3330a93cd4e2a1f268e94f1c7d,0.110071,0.501584,0.501579,4.081728,1.563380
ea4db67c4d77a14f121f6446c325abbcc5ea6f1b,0.032806,0.501584,0.501579,4.081728,1.563380
6af9b0106e670d4ff980a6c0120b327d60723bb8,0.084306,0.501584,0.501579,4.081728,1.563380
7cf021ba4be46b65298fd2ea67b1ff353c541561,0.013664,0.501584,0.501579,4.081728,1.563380
760692ef5e597035967a2217a5fee2454bfaaf7a,0.030494,0.501584,0.501579,4.081728,1.563380
16f0864f1288e504095cbcfecb7fc6394d5184a9,0.045326,0.501584,0.501579,4.081728,1.563380
1fdbbfb44b94d18a6bce1527285ae4580695e381,0.058692,0.501584,0.501579,4.081728,1.563380
1d015344b1b82758bd8f3391f9e0fbf0bd9052f0,0.098301,0.501584,0.501579,4.081728,1.563380
57a90f8dcfd30379855a71090ae97fb229709ac7,0.111804,0.501584,0.501579,4.081728,1.563380
5fecb537e9418005b1e7b28f86b3790908039bed,0.041109,0.501584,0.501579,4.081728,1.563380
