version,time,accuracy,precision,recall,fscore
7cf907b88982022a8a43c6c29cd7669db7ead410,1.491904,0.969697,0.971286,0.969697,0.969738
03f088758c59acbdc39eba63deac8a55633ff5a8,1.524132,0.969697,0.971286,0.969697,0.969738
9f9fd2dec5fa5d5bd1c83c0a5d5ea5a8685aac57,1.331945,0.969697,0.971286,0.969697,0.969738
2930bfe78c514cafbcc5711bc6f8cc5bc9438e6c,1.610136,0.969697,0.971286,0.969697,0.969738
0337bde36f8fc46a93f1f96d572c2fa613d4d04b,1.342633,0.969697,0.971286,0.969697,0.969738
43f18191711dc39e57ae4b2a6ae747878af5d136,1.521624,0.969697,0.971286,0.969697,0.969738
7f155e9d1a48eb79646f5307b7d6a89d0667d9d0,1.456056,0.969697,0.971286,0.969697,0.969738
5f592dff93998bab3ee2ec0113b3707d1af44594,1.558232,0.969697,0.971286,0.969697,0.969738
775588e9ab7d639c2e4cea6775b019aa11b3048f,1.530780,0.969697,0.971286,0.969697,0.969738
3f5dbe2aa41631b1ca565de2827b13ca138448ff,1.507895,0.969697,0.971286,0.969697,0.969738
7a218ffbbe74f00fb7752c4a7f4dff8335bb8199,1.518528,0.969697,0.971286,0.969697,0.969738
1714f79d3f1e216ff472094c694beb86dd55cb30,1.506852,0.969697,0.971286,0.969697,0.969738
1b06362a1a5289ff37a7f137256ceb2f948d1891,1.483097,0.969697,0.971286,0.969697,0.969738
b49c2d0756671a3205211707600437084dfcf3a5,1.531729,0.969697,0.971286,0.969697,0.969738
6737f3baadec075a3bba2597145ecc16cb20e92d,1.475757,0.969697,0.971286,0.969697,0.969738
d143947fe757b291ac0dd340c597f53de1779db7,1.557242,0.969697,0.971286,0.969697,0.969738
e818a8452b2e7f6173c60d127e734ea327831427,1.538562,0.969697,0.971286,0.969697,0.969738
4ee5b5e3eb3cfa4c2016c004b2488d673e90c3d9,1.526934,0.969697,0.971286,0.969697,0.969738
17fa297ea6d3ef6fc8e5c374f07b6efe3a9c8b2e,1.497694,0.969697,0.971286,0.969697,0.969738
e7a08add17718e6f21afcf022fa274d94e01435f,1.524522,0.969697,0.971286,0.969697,0.969738
86f621b1c738bd2b6d50a663b117500eae2fd63f,1.484413,0.969697,0.971286,0.969697,0.969738
e6fa5966c7f6cc4b286e17597ea68f25fd934bc2,1.503607,0.969697,0.971286,0.969697,0.969738
cd0133e59c909c427081731f8cea4a007fff8b63,1.581687,0.969697,0.971286,0.969697,0.969738
10d641c722af2adea63a6ee09274ac6fcbbb9fb2,1.390654,0.969697,0.971286,0.969697,0.969738
436c257c8cd0439c907bffdf2c9d7e46f124dc11,1.498924,0.969697,0.971286,0.969697,0.969738
aef85ba3cf438e345f40797084269d016f15ba48,1.554711,0.969697,0.971286,0.969697,0.969738
9b4604614d3647b6e93d0ccab32454f0e2d6c0de,1.513029,0.969697,0.971286,0.969697,0.969738
d4a6ebd21ecbddb137de7a8d4ac008b477cd665c,1.497231,0.969697,0.971286,0.969697,0.969738
f78e1b5aae2da1c1be2a57d140d847816290d1e1,1.426844,0.969697,0.971286,0.969697,0.969738
