version,time,explained_variance_score,r2_score,mean_squared_error,mean_absolute_error
e6e0dd7bf36acbebd176ba3e010638bfbc6f2b01,0.017956,0.500162,0.500160,4.093351,1.571050
a0ba403a39cfa1700d1c7c9294096019837af19a,0.062051,0.500162,0.500160,4.093351,1.571050
794c6856e4edc21bf05969c2feb7c1dca53b7745,0.005981,0.500162,0.500160,4.093351,1.571050
b7b270a595e6a30db32c1d08b9f861babcd64645,0.017025,0.500162,0.500160,4.093351,1.571050
efd5afdb959f87608a71adeec38d2a18175da10c,0.019700,0.500162,0.500160,4.093351,1.571050
271849953fdf1ed233cfb0435a92455961c51d13,0.025967,0.500162,0.500160,4.093351,1.571050
efd5e3bf1c6a1e2936eac97949177c0c8e8e2097,0.006318,0.500162,0.500160,4.093351,1.571050
64e730e382cacd43832c9a0ec923830ec90f99c8,0.096003,0.500162,0.500160,4.093351,1.571050
8fff05c3e871985e247c9bc90fe4bf1420991ca5,0.015595,0.500162,0.500160,4.093351,1.571050
5fcad7cc673b6dfbfbacfffe7bf8dbb2ac6e672f,0.039670,0.500162,0.500160,4.093351,1.571050
007ae76cb358fe7836b8a37618062bdfa5629c16,0.021172,0.500162,0.500160,4.093351,1.571050
1b1e10c3251bda9240f115123f6c17c8fde50e35,0.045283,0.500162,0.500160,4.093351,1.571050
fa5bd2c70bd41f6c369603a7590ecd51f037419e,0.029535,0.500162,0.500160,4.093351,1.571050
2656f7be616c5b0e5cbd769907eedc3da19a8acc,0.005660,0.500162,0.500160,4.093351,1.571050
ef94a2a671631f6502cc1d803a4c3c921317a596,0.063413,0.500162,0.500160,4.093351,1.571050
6ac6ea38427e7f8bc47eb911f073f2916dc4c99c,0.027191,0.500162,0.500160,4.093351,1.571050
9eb1964724bcfd15ea35ead476f3dcf2ad367bcf,0.026330,0.500162,0.500160,4.093351,1.571050
6bd084489c30d146d9ec1c6c65b5825e31aa3d0f,0.062119,0.500162,0.500160,4.093351,1.571050
2bf07b25e3079b7d0ae5087a5c5501baccccafd4,0.075257,0.500162,0.500160,4.093351,1.571050
dd9641f707886ce59ec44e10b8c5a1f1416e76b0,0.021422,0.500162,0.500160,4.093351,1.571050
6f26cf07c8d22fa11ba6168bb24a4c2de2c41598,0.008377,0.500162,0.500160,4.093351,1.571050
e61520f81332f3b9ed8461ddb3e6c7d94a3b2dea,0.013800,0.500162,0.500160,4.093351,1.571050
e038cb37599e42056ae74631cdd3691f3443813c,0.018015,0.500162,0.500160,4.093351,1.571050
91614a7481a59553b561129301f32c779533b777,0.010268,0.500162,0.500160,4.093351,1.571050
fb956063d632aeedab464feaa98076e7743bbff8,0.006902,0.500162,0.500160,4.093351,1.571050
b17b3aa9c90129206ba6c28a27f5998a04de8c46,0.050482,0.500162,0.500160,4.093351,1.571050
a50afc04aa05da1787cdb2edf2979fdb975cbcc8,0.006010,0.500162,0.500160,4.093351,1.571050
31185856c0b3c6d6f9398ae41e7ce70e9780431a,0.076134,0.500162,0.500160,4.093351,1.571050
8add36bdb92f318b5da4d4570a5d8f936a346257,0.069212,0.500162,0.500160,4.093351,1.571050
919684cdf4d158aa17d8b8d105eeffaabd8ac50d,0.068692,0.500162,0.500160,4.093351,1.571050
fb9e7254c6c8c6bbbc6c78c0e35ab3d85b7b37d8,0.014979,0.500162,0.500160,4.093351,1.571050
d83a362a6d87ebc7e25e478777115c6fe1534063,0.033016,0.500162,0.500160,4.093351,1.571050
51a51ef675e732c4c574d57a921562830ba0aa04,0.027733,0.500162,0.500160,4.093351,1.571050
4408a180ccca71245cd0ab9fe7c2ea51ac274936,0.018941,0.500162,0.500160,4.093351,1.571050
b03af5760b52952b6b8be50ac5bbdbaf4446e619,0.029174,0.500162,0.500160,4.093351,1.571050
2f563df5123b08ae9c90ee13c875f4ee015303e9,0.029543,0.500162,0.500160,4.093351,1.571050
a685fe541c5209f04a2afcc46d7f2be082f8bad9,0.089124,0.500162,0.500160,4.093351,1.571050
d3fba99814ee1ccffee68eb22d3f45ce3b706125,0.064892,0.500162,0.500160,4.093351,1.571050
190fe7347cfd6fab67f37c7535c4fa9b8f0870de,0.011340,0.500162,0.500160,4.093351,1.571050
cdfaabfa0b52c45f45406dd205fef8121da7b351,0.023508,0.500162,0.500160,4.093351,1.571050
88e0c69013f7710a74015b6fc57ce3e5e2947325,0.057476,0.500162,0.500160,4.093351,1.571050
6d89b145f9649c3c39cc267ae350dfcc672a8687,0.028515,0.500162,0.500160,4.093351,1.571050
b6ce3226f75d5a6aeaff81b5453838276257f40d,0.029392,0.500162,0.500160,4.093351,1.571050
5b2ee7a14fab33a6d957f81d1dadb775f9dbc596,0.016454,0.500162,0.500160,4.093351,1.571050
c440190a13fb3c18e18514d1edf9d27b5f7c880c,0.011433,0.500162,0.500160,4.093351,1.571050
e9987776b000dada7c3ff7a1b9c6d81134d00427,0.018162,0.500162,0.500160,4.093351,1.571050
359492536e1a82a26efb57603785c2ba7167e2b9,0.086292,0.500162,0.500160,4.093351,1.571050
ffb81e45830ee1b9365cd9eea064320fef4cb066,0.013238,0.500162,0.500160,4.093351,1.571050
259e98306c0924c9eebc46ce7ce7dc15de027f9c,0.088590,0.500162,0.500160,4.093351,1.571050
4618cb3093875a433fd2e28d97a5b4ee10f00df0,0.036250,0.500162,0.500160,4.093351,1.571050
d2382e1be2953c6b402d58640ce1f9b0b7c73ace,0.033571,0.500162,0.500160,4.093351,1.571050
43a46365cc76674ab55ceef8c5e9d26d29c48001,0.030986,0.500162,0.500160,4.093351,1.571050
017f2894608c17d991d116ec4284f0da18ecec61,0.097268,0.500162,0.500160,4.093351,1.571050
0007660b84baf4ec12f76c8973ea9604f0152b47,0.023250,0.500162,0.500160,4.093351,1.571050
f10d2f43c6142259e70c8c67211c37219f97ca75,0.017055,0.500162,0.500160,4.093351,1.571050
