version,time,accuracy,precision,recall,fscore
877d4711bde70df121c6dffa9dc46a110836721f,0.418433,0.942761,0.945108,0.942761,0.942691
64604794672ad3f8d3f541bca3a8f0e75b6fb05a,0.431424,0.942761,0.945108,0.942761,0.942691
4b79f220a405378f27f8d0fc6102388ba7420152,0.382427,0.942761,0.945108,0.942761,0.942691
78c0f61060047886ed1ed4fbf23b4398c79201da,0.381850,0.942761,0.945108,0.942761,0.942691
4c51809103c0b16825cfe22e27b90b69d58e9433,0.397068,0.942761,0.945108,0.942761,0.942691
be315ed0a6f6c4e51e525ff0caae869619b9faea,0.395000,0.942761,0.945108,0.942761,0.942691
df27e261566384898291de23a99faaa6a9546946,0.508029,0.942761,0.945108,0.942761,0.942691
8489c33010f35302b515b0859db485b209dc8b15,0.368574,0.942761,0.945108,0.942761,0.942691
afcb384ebab3d321190ba1bb72fa10c0db600b30,0.410375,0.942761,0.945108,0.942761,0.942691
c29ef67cc0ddb590ec761b13591e9e1e4a3fe003,0.408947,0.942761,0.945108,0.942761,0.942691
e6da2c19c491d0af3ad2cb2da4181b52ab53ee5d,0.422556,0.942761,0.945108,0.942761,0.942691
7a70e0f8d37d73db39c2e698ef044eef222d2876,0.427420,0.942761,0.945108,0.942761,0.942691
2bfca14c4935eb524cfd7a65dec2370c1f03c857,0.406765,0.942761,0.945108,0.942761,0.942691
9789fdb247c027bef0e672d2745f8de695d35e43,0.361809,0.942761,0.945108,0.942761,0.942691
7aee742a8a107719ca317eacf1c08096d0efd3ee,0.385584,0.942761,0.945108,0.942761,0.942691
82864ad73b970412f5d8f0c45dc105b19ac5a917,0.344845,0.942761,0.945108,0.942761,0.942691
d2db017058e4cda793ffadec1f3facac9babaa50,0.345250,0.942761,0.945108,0.942761,0.942691
e331935d2d675de9b99f9ffb64a6bd0b7a250b15,0.398365,0.942761,0.945108,0.942761,0.942691
1ccf3581ef0e91f580922229e19fa2f27ee1ff2c,0.423223,0.942761,0.945108,0.942761,0.942691
45a90568bcc6e74e11d353bd7ddfdc0ff370abfb,0.362989,0.942761,0.945108,0.942761,0.942691
6544ad27f93647dbe06965225211dbcbf27805ab,0.410054,0.942761,0.945108,0.942761,0.942691
f89262296705a6679a3c984f557142759b2c87ed,0.410624,0.942761,0.945108,0.942761,0.942691
4098883f40f5dcbb1c807e0987b537cd7e2c7cb0,0.419887,0.942761,0.945108,0.942761,0.942691
