version,time,inertia,homo,compl,v-meas,ARI,silhouette
fdfcf9c2c59b8699ade104e2591936a83eed7c1f,3.649724,69683.156271,0.680690,0.719774,0.699687,0.571574,0.147889
a161f3dbbeaff3d3496f899f99b8a7dd1248c1a0,4.249063,69683.156271,0.680690,0.719774,0.699687,0.571574,0.147889
1890d6eefac1763de120021cfeb46ce3317a564a,3.227244,69683.156271,0.680690,0.719774,0.699687,0.571574,0.147889
251fa607fdd110ede10088ed2b7a1f245ab3281c,2.762851,69683.156271,0.680690,0.719774,0.699687,0.571574,0.147889
5ecc1611ff08b297c08fc69c693a96585a5faf52,3.864262,69683.156271,0.680690,0.719774,0.699687,0.571574,0.147889
493c7cc327be01821c03a3d6be019de9997cd595,3.127096,69683.156271,0.680690,0.719774,0.699687,0.571574,0.147889
8920d482ca49798f26863290975b462d82f262e2,4.647045,69683.156271,0.680690,0.719774,0.699687,0.571574,0.147889
c72dbd5f617ee47a567ca764e6a94e9e7cfcbaf1,3.086965,69683.156271,0.680690,0.719774,0.699687,0.571574,0.147889
e6a5713e02748094ed4cae21c89e00a5380a438d,5.448816,69683.156271,0.680690,0.719774,0.699687,0.571574,0.147889
9aec58630a71083c6ac06a53fef49b4d94a92a29,4.229215,69683.156271,0.680690,0.719774,0.699687,0.571574,0.147889
db7d0d29cf1168f4d4a13ef1d370104f434235a5,4.360812,69683.156271,0.680690,0.719774,0.699687,0.571574,0.147889
1dfc7689511b9d6a835a0db26a2471281a1d9544,2.404277,69683.156271,0.680690,0.719774,0.699687,0.571574,0.147889
f20995006d6b549f5496f6e1d320acdca81bec15,1.978950,69683.156271,0.680690,0.719774,0.699687,0.571574,0.147889
cef8de767586025c07ce3bc525059d14bbaabdb8,3.864533,69683.156271,0.680690,0.719774,0.699687,0.571574,0.147889
7cf907b88982022a8a43c6c29cd7669db7ead410,3.731721,69683.156271,0.680690,0.719774,0.699687,0.571574,0.147889
03f088758c59acbdc39eba63deac8a55633ff5a8,2.656397,69683.156271,0.680690,0.719774,0.699687,0.571574,0.147889
